date,name,new_cases,new_cases_per_ten_thousand,first_dose,fully_vaccinated
29/05/2021,Selangor,2836,,253704,139317
29/05/2021,Sabah,265,,134897,83680
29/05/2021,Kuala Lumpur,789,,301849,94397
29/05/2021,Johor,468,,164091,88252
29/05/2021,Sarawak,726,,187869,102786
29/05/2021,Pulau Pinang,345,,87370,71666
29/05/2021,Kelantan,907,,81488,48578
29/05/2021,Negeri Sembilan,898,,73105,51195
29/05/2021,Perak,272,,149550,94214
29/05/2021,Kedah,468,,108536,64337
29/05/2021,Melaka,340,,45905,34845
29/05/2021,Pahang,216,,101125,72600
29/05/2021,Terengganu,189,,70091,42817
29/05/2021,Labuan,253,,13784,11259
29/05/2021,Putrajaya,29,,20964,10835
29/05/2021,Perlis,19,,28012,18930
30/05/2021,Selangor,2477,,258602,139427
30/05/2021,Sabah,190,,136221,84662
30/05/2021,Kuala Lumpur,616,,311150,94399
30/05/2021,Johor,433,,170243,92231
30/05/2021,Sarawak,513,,192918,109934
30/05/2021,Pulau Pinang,248,,87371,71167
30/05/2021,Kelantan,612,,85177,50434
30/05/2021,Negeri Sembilan,468,,73543,51195
30/05/2021,Perak,212,,152542,97558
30/05/2021,Kedah,422,,110860,67380
30/05/2021,Melaka,202,,45905,34845
30/05/2021,Pahang,239,,101175,72648
30/05/2021,Terengganu,214,,72397,45238
30/05/2021,Labuan,133,,13784,11262
30/05/2021,Putrajaya,13,,20964,10835
30/05/2021,Perlis,7,,28012,18930
31/05/2021,Selangor,2111,,271238,141622
31/05/2021,Sabah,207,,137219,85132
31/05/2021,Kuala Lumpur,387,,325493,96834
31/05/2021,Johor,489,,179063,95680
31/05/2021,Sarawak,654,,194669,111037
31/05/2021,Pulau Pinang,328,,90167,72272
31/05/2021,Kelantan,695,,90401,52863
31/05/2021,Negeri Sembilan,253,,75030,53245
31/05/2021,Perak,255,,156771,101400
31/05/2021,Kedah,464,,117648,69280
31/05/2021,Melaka,352,,47414,35884
31/05/2021,Pahang,219,,102637,76076
31/05/2021,Terengganu,204,,74663,47572
31/05/2021,Labuan,166,,13784,11262
31/05/2021,Putrajaya,28,,21751,11402
31/05/2021,Perlis,12,,29913,19007
01/06/2021,Selangor,2068,,285214,143797
01/06/2021,Sabah,318,,138696,86076
01/06/2021,Kuala Lumpur,817,,340690,99538
01/06/2021,Johor,431,,186858,97798
01/06/2021,Sarawak,703,,194936,111176
01/06/2021,Pulau Pinang,400,,94009,73062
01/06/2021,Kelantan,531,,97419,55001
01/06/2021,Negeri Sembilan,397,,76862,55850
01/06/2021,Perak,387,,161295,105014
01/06/2021,Kedah,236,,125887,69940
01/06/2021,Melaka,249,,49774,36390
01/06/2021,Pahang,190,,104460,79043
01/06/2021,Terengganu,198,,78043,49337
01/06/2021,Labuan,162,,13784,11661
01/06/2021,Putrajaya,18,,22557,12123
01/06/2021,Perlis,0,,31861,19067
02/06/2021,Selangor,2728,,302031,145539
02/06/2021,Sabah,254,,144560,88388
02/06/2021,Kuala Lumpur,701,,355966,101221
02/06/2021,Johor,554,,195988,97974
02/06/2021,Sarawak,588,,195333,111322
02/06/2021,Pulau Pinang,407,,98367,73536
02/06/2021,Kelantan,541,,105725,55174
02/06/2021,Negeri Sembilan,586,,79872,56202
02/06/2021,Perak,224,,168729,105298
02/06/2021,Kedah,283,,136208,70209
02/06/2021,Melaka,209,,52704,36434
02/06/2021,Pahang,237,,108655,79837
02/06/2021,Terengganu,224,,81911,50040
02/06/2021,Labuan,159,,14216,12023
02/06/2021,Putrajaya,1,,23954,12403
02/06/2021,Perlis,7,,33970,19084
03/06/2021,Selangor,3125,,320439,145636
03/06/2021,Sabah,203,,152900,89821
03/06/2021,Kuala Lumpur,801,,372242,101249
03/06/2021,Johor,752,,203667,97983
03/06/2021,Sarawak,594,,201797,116399
03/06/2021,Pulau Pinang,303,,103627,73607
03/06/2021,Kelantan,414,,114615,55505
03/06/2021,Negeri Sembilan,576,,83458,56202
03/06/2021,Perak,384,,176747,105302
03/06/2021,Kedah,373,,146579,70389
03/06/2021,Melaka,322,,56428,36441
03/06/2021,Pahang,135,,114470,79907
03/06/2021,Terengganu,127,,84677,50052
03/06/2021,Labuan,62,,14765,12417
03/06/2021,Putrajaya,33,,25379,12410
03/06/2021,Perlis,5,,36226,19100
04/06/2021,Selangor,2612,,336746,145871
04/06/2021,Sabah,287,,162814,90662
04/06/2021,Kuala Lumpur,851,,388365,101821
04/06/2021,Johor,446,,205419,97983
04/06/2021,Sarawak,706,,209478,119263
04/06/2021,Pulau Pinang,376,,109122,73667
04/06/2021,Kelantan,286,,115078,55505
04/06/2021,Negeri Sembilan,709,,86659,56236
04/06/2021,Perak,371,,185710,105432
04/06/2021,Kedah,263,,151348,70394
04/06/2021,Melaka,234,,59961,36451
04/06/2021,Pahang,146,,118440,79994
04/06/2021,Terengganu,203,,84677,50053
04/06/2021,Labuan,230,,15351,12481
04/06/2021,Putrajaya,20,,26756,12421
04/06/2021,Perlis,8,,37453,19102
05/06/2021,Selangor,2509,,347114,145970
05/06/2021,Sabah,259,,171725,91114
05/06/2021,Kuala Lumpur,678,,397752,101821
05/06/2021,Johor,412,,215762,98276
05/06/2021,Sarawak,651,,219857,119306
05/06/2021,Pulau Pinang,370,,112720,73681
05/06/2021,Kelantan,312,,115698,55510
05/06/2021,Negeri Sembilan,843,,87744,56236
05/06/2021,Perak,252,,192738,105525
05/06/2021,Kedah,263,,154556,70394
05/06/2021,Melaka,206,,62115,36452
05/06/2021,Pahang,286,,120502,80011
05/06/2021,Terengganu,190,,85595,50053
05/06/2021,Labuan,205,,15597,12866
05/06/2021,Putrajaya,12,,26757,12421
05/06/2021,Perlis,4,,38223,19102
06/06/2021,Selangor,2178,,352725,145972
06/06/2021,Sabah,305,,179121,91143
06/06/2021,Kuala Lumpur,415,,406536,101822
06/06/2021,Johor,565,,226317,98429
06/06/2021,Sarawak,600,,234345,119421
06/06/2021,Pulau Pinang,271,,112721,73682
06/06/2021,Kelantan,270,,122063,55945
06/06/2021,Negeri Sembilan,556,,88807,56236
06/06/2021,Perak,174,,200512,105546
06/06/2021,Kedah,125,,164512,70581
06/06/2021,Melaka,225,,62115,36452
06/06/2021,Pahang,155,,124614,80014
06/06/2021,Terengganu,158,,89110,50669
06/06/2021,Labuan,212,,15597,12866
06/06/2021,Putrajaya,30,,26757,12421
06/06/2021,Perlis,2,,38223,19102
07/06/2021,Selangor,1374,,362081,145973
07/06/2021,Sabah,336,,185838,91962
07/06/2021,Kuala Lumpur,455,,425647,104742
07/06/2021,Johor,355,,229183,98996
07/06/2021,Sarawak,703,,249088,119459
07/06/2021,Pulau Pinang,153,,114247,73682
07/06/2021,Kelantan,341,,122337,56158
07/06/2021,Negeri Sembilan,571,,89435,56236
07/06/2021,Perak,177,,201153,105546
07/06/2021,Kedah,194,,167438,70584
07/06/2021,Melaka,178,,62115,36452
07/06/2021,Pahang,99,,124664,80014
07/06/2021,Terengganu,117,,89110,50964
07/06/2021,Labuan,209,,15597,12866
07/06/2021,Putrajaya,8,,27499,12421
07/06/2021,Perlis,1,,38223,19102
08/06/2021,Selangor,1524,,379119,152215
08/06/2021,Sabah,350,,194304,95379
08/06/2021,Kuala Lumpur,466,,446172,108740
08/06/2021,Johor,456,,239184,107192
08/06/2021,Sarawak,707,,256044,124820
08/06/2021,Pulau Pinang,185,,121003,74431
08/06/2021,Kelantan,204,,129301,58879
08/06/2021,Negeri Sembilan,505,,92129,59986
08/06/2021,Perak,225,,208151,108361
08/06/2021,Kedah,148,,175811,72127
08/06/2021,Melaka,314,,65641,36651
08/06/2021,Pahang,157,,129740,81323
08/06/2021,Terengganu,106,,89886,53998
08/06/2021,Labuan,191,,15900,13092
08/06/2021,Putrajaya,27,,27887,13565
08/06/2021,Perlis,1,,39105,19985
09/06/2021,Selangor,2291,,398733,157671
09/06/2021,Sabah,232,,204076,98910
09/06/2021,Kuala Lumpur,704,,463878,113466
09/06/2021,Johor,468,,251726,113171
09/06/2021,Sarawak,419,,261225,128648
09/06/2021,Pulau Pinang,194,,128945,74919
09/06/2021,Kelantan,340,,137088,61769
09/06/2021,Negeri Sembilan,507,,96517,61508
09/06/2021,Perak,175,,216548,110610
09/06/2021,Kedah,135,,182683,75299
09/06/2021,Melaka,150,,69227,36972
09/06/2021,Pahang,232,,135641,83339
09/06/2021,Terengganu,171,,92264,56344
09/06/2021,Labuan,200,,16498,13136
09/06/2021,Putrajaya,17,,28442,14432
09/06/2021,Perlis,4,,40557,20745
10/06/2021,Selangor,1510,,418048,165516
10/06/2021,Sabah,233,,213852,102699
10/06/2021,Kuala Lumpur,769,,483363,118255
10/06/2021,Johor,524,,265985,117725
10/06/2021,Sarawak,631,,267248,130641
10/06/2021,Pulau Pinang,166,,136967,77098
10/06/2021,Kelantan,262,,143816,65417
10/06/2021,Negeri Sembilan,593,,101258,62944
10/06/2021,Perak,143,,222073,115298
10/06/2021,Kedah,309,,188793,78993
10/06/2021,Melaka,184,,71622,37593
10/06/2021,Pahang,112,,140594,86003
10/06/2021,Terengganu,108,,93382,59015
10/06/2021,Labuan,106,,17116,13152
10/06/2021,Putrajaya,18,,28885,15632
10/06/2021,Perlis,3,,42176,21777
11/06/2021,Selangor,2558,,438103,170855
11/06/2021,Sabah,309,,224164,105720
11/06/2021,Kuala Lumpur,884,,505498,122564
11/06/2021,Johor,426,,271268,118317
11/06/2021,Sarawak,699,,276166,133516
11/06/2021,Pulau Pinang,205,,146023,78078
11/06/2021,Kelantan,248,,144350,65437
11/06/2021,Negeri Sembilan,685,,105106,63982
11/06/2021,Perak,161,,227120,121740
11/06/2021,Kedah,161,,190376,79680
11/06/2021,Melaka,170,,73808,38277
11/06/2021,Pahang,89,,144240,88322
11/06/2021,Terengganu,66,,93564,59015
11/06/2021,Labuan,176,,17497,13250
11/06/2021,Putrajaya,10,,29283,16797
11/06/2021,Perlis,2,,43170,22268
12/06/2021,Selangor,1582,,451757,174302
12/06/2021,Sabah,378,,235689,107731
12/06/2021,Kuala Lumpur,559,,528545,122797
12/06/2021,Johor,504,,281546,126673
12/06/2021,Sarawak,569,,300089,141972
12/06/2021,Pulau Pinang,198,,152101,78088
12/06/2021,Kelantan,337,,144353,65453
12/06/2021,Negeri Sembilan,618,,106283,64070
12/06/2021,Perak,218,,231208,126876
12/06/2021,Kedah,171,,191402,80516
12/06/2021,Melaka,178,,75842,38780
12/06/2021,Pahang,121,,145492,92627
12/06/2021,Terengganu,82,,95401,59016
12/06/2021,Labuan,250,,17935,13295
12/06/2021,Putrajaya,23,,29283,16798
12/06/2021,Perlis,5,,43170,22268
13/06/2021,Selangor,1973,,462612,174302
13/06/2021,Sabah,335,,243973,108941
13/06/2021,Kuala Lumpur,462,,552275,122810
13/06/2021,Johor,363,,294240,130202
13/06/2021,Sarawak,544,,324913,149227
13/06/2021,Pulau Pinang,256,,154097,78088
13/06/2021,Kelantan,179,,149603,68676
13/06/2021,Negeri Sembilan,331,,107180,64070
13/06/2021,Perak,121,,235068,131350
13/06/2021,Kedah,301,,195936,85057
13/06/2021,Melaka,145,,75842,38780
13/06/2021,Pahang,78,,146891,92703
13/06/2021,Terengganu,46,,99286,61398
13/06/2021,Labuan,158,,17935,13295
13/06/2021,Putrajaya,7,,29283,16798
13/06/2021,Perlis,5,,43170,22269
14/06/2021,Selangor,1523,,487138,180605
14/06/2021,Sabah,273,,254339,112114
14/06/2021,Kuala Lumpur,503,,573392,127174
14/06/2021,Johor,430,,309350,135621
14/06/2021,Sarawak,744,,355676,159920
14/06/2021,Pulau Pinang,214,,162007,79844
14/06/2021,Kelantan,214,,156005,72154
14/06/2021,Negeri Sembilan,323,,111872,65049
14/06/2021,Perak,136,,240742,135435
14/06/2021,Kedah,199,,200174,90631
14/06/2021,Melaka,119,,77452,40060
14/06/2021,Pahang,61,,149907,96111
14/06/2021,Terengganu,86,,103267,63727
14/06/2021,Labuan,113,,19109,13315
14/06/2021,Putrajaya,10,,29722,17738
14/06/2021,Perlis,1,,45042,23541
15/06/2021,Selangor,1996,,515132,187443
15/06/2021,Sabah,230,,267001,116366
15/06/2021,Kuala Lumpur,650,,597419,131882
15/06/2021,Johor,366,,322644,142868
15/06/2021,Sarawak,718,,390281,168471
15/06/2021,Pulau Pinang,124,,170419,81702
15/06/2021,Kelantan,245,,163690,76357
15/06/2021,Negeri Sembilan,396,,117341,67127
15/06/2021,Perak,68,,246942,139612
15/06/2021,Kedah,252,,204402,95047
15/06/2021,Melaka,155,,79520,41320
15/06/2021,Pahang,32,,155955,97746
15/06/2021,Terengganu,43,,107293,65921
15/06/2021,Labuan,138,,20050,13328
15/06/2021,Putrajaya,5,,30451,18568
15/06/2021,Perlis,1,,46880,24931
16/06/2021,Selangor,1914,,550681,188497
16/06/2021,Sabah,480,,282798,118240
16/06/2021,Kuala Lumpur,184,,625467,132417
16/06/2021,Johor,392,,339542,143268
16/06/2021,Sarawak,570,,438621,169172
16/06/2021,Pulau Pinang,607,,180292,81809
16/06/2021,Kelantan,230,,173697,77292
16/06/2021,Negeri Sembilan,99,,122837,68217
16/06/2021,Perak,66,,249376,139623
16/06/2021,Kedah,228,,208191,96029
16/06/2021,Melaka,152,,84681,41335
16/06/2021,Pahang,57,,161154,97831
16/06/2021,Terengganu,56,,112534,66141
16/06/2021,Labuan,101,,21207,13342
16/06/2021,Putrajaya,6,,31649,18573
16/06/2021,Perlis,8,,49468,24967
17/06/2021,Selangor,1858,,580341,195315
17/06/2021,Sabah,248,,294804,122717
17/06/2021,Kuala Lumpur,641,,649627,137078
17/06/2021,Johor,449,,354039,149227
17/06/2021,Sarawak,559,,484869,172644
17/06/2021,Pulau Pinang,97,,189411,83770
17/06/2021,Kelantan,154,,181987,80306
17/06/2021,Negeri Sembilan,1086,,128070,69602
17/06/2021,Perak,30,,258548,140885
17/06/2021,Kedah,197,,211888,101122
17/06/2021,Melaka,184,,89623,42529
17/06/2021,Pahang,54,,164363,98208
17/06/2021,Terengganu,77,,115867,68128
17/06/2021,Labuan,97,,23188,13363
17/06/2021,Putrajaya,7,,32567,19146
17/06/2021,Perlis,0,,50879,26543
18/06/2021,Selangor,2095,,607142,202143
18/06/2021,Sabah,199,,305580,127838
18/06/2021,Kuala Lumpur,816,,672759,141045
18/06/2021,Johor,592,,361166,151140
18/06/2021,Sarawak,536,,531482,174545
18/06/2021,Pulau Pinang,122,,197463,85981
18/06/2021,Kelantan,200,,182416,80319
18/06/2021,Negeri Sembilan,870,,132448,71444
18/06/2021,Perak,357,,266505,144086
18/06/2021,Kedah,159,,213534,102246
18/06/2021,Melaka,223,,94283,44427
18/06/2021,Pahang,79,,167551,98599
18/06/2021,Terengganu,32,,115867,68128
18/06/2021,Labuan,152,,2449,13405
18/06/2021,Putrajaya,6,,33272,20073
18/06/2021,Perlis,2,,51800,27614
19/06/2021,Selangor,2111,,626510,207077
19/06/2021,Sabah,201,,316881,131966
19/06/2021,Kuala Lumpur,483,,697411,141071
19/06/2021,Johor,498,,369859,161082
19/06/2021,Sarawak,569,,570994,181690
19/06/2021,Pulau Pinang,167,,205188,86004
19/06/2021,Kelantan,223,,182948,80323
19/06/2021,Negeri Sembilan,770,,133716,72264
19/06/2021,Perak,245,,272626,147250
19/06/2021,Kedah,204,,213720,105313
19/06/2021,Melaka,134,,99328,45355
19/06/2021,Pahang,56,,168461,99805
19/06/2021,Terengganu,62,,115995,68605
19/06/2021,Labuan,185,,25527,13416
19/06/2021,Putrajaya,3,,33272,20073
19/06/2021,Perlis,0,,53651,27621
20/06/2021,Selangor,1680,,642249,208031
20/06/2021,Sabah,163,,323350,133026
20/06/2021,Kuala Lumpur,379,,724684,141094
20/06/2021,Johor,627,,377190,167469
20/06/2021,Sarawak,661,,610485,186008
20/06/2021,Pulau Pinang,114,,207284,86008
20/06/2021,Kelantan,167,,187594,84019
20/06/2021,Negeri Sembilan,693,,134300,72682
20/06/2021,Perak,205,,277987,150200
20/06/2021,Kedah,170,,214310,107219
20/06/2021,Melaka,183,,99330,45355
20/06/2021,Pahang,77,,169686,99823
